request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_58,0,not_affordable,not_recommended,none,,none,The full IDR 16226000 request cannot be completed safely within the next 90 days without breaking the IDR 14433900 minimum balance you want to keep.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 7 May 2025. This leaves at least INR 132600 available."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today. This leaves at least USD 400 available over the next 90 days.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 17 March 2024. This leaves at least ZAR 36700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This leaves at least USD 1300 available over the next 90 days.
request_63,60509.98,not_affordable,not_recommended,none,,none,The full INR 343900 request cannot be completed safely within the next 90 days without breaking the INR 153500 minimum balance you want to keep.
request_64,0,not_affordable,not_recommended,none,2024-06-14,none,The full INR 63700 request cannot be completed safely within the next 90 days without breaking the INR 36100 minimum balance you want to keep.
request_65,9897.82,not_affordable,not_recommended,none,,none,The full ZAR 54340 request cannot be completed safely within the next 90 days without breaking the ZAR 15500 minimum balance you want to keep.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This leaves at least INR 80700 available over the next 90 days.
request_67,529.39,not_affordable,not_recommended,none,,none,The full USD 2094 request cannot be completed safely within the next 90 days without breaking the USD 1200 minimum balance you want to keep.
request_68,1912.24,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-11,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.1 today. This leaves at least EUR 700 available over the next 90 days.
request_70,59952.21,not_affordable,not_recommended,none,,none,The full INR 243900 request cannot be completed safely within the next 90 days without breaking the INR 115000 minimum balance you want to keep.
request_71,2510054.77,not_affordable,not_recommended,none,,none,The full IDR 21451000 request cannot be completed safely within the next 90 days without breaking the IDR 8884800 minimum balance you want to keep.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 today. This leaves at least ZAR 12200 available over the next 90 days.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. This leaves at least INR 103200 available over the next 90 days.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. This leaves at least ZAR 21900 available over the next 90 days.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 9 April 2026. This leaves at least ZAR 39000 available."
request_76,1273.68,not_affordable,not_recommended,none,,none,The full USD 4455.6 request cannot be completed safely within the next 90 days without breaking the USD 1800 minimum balance you want to keep.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today. This leaves at least INR 82200 available over the next 90 days.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Pay INR 50200 today. This leaves at least INR 55200 available over the next 90 days.
request_79,910.58,not_affordable,not_recommended,none,,none,The full EUR 2151.6 request cannot be completed safely within the next 90 days without breaking the EUR 1000 minimum balance you want to keep.
request_80,126530,not_affordable,not_recommended,none,,none,The full INR 217500 request cannot be completed safely within the next 90 days without breaking the INR 121300 minimum balance you want to keep.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. This leaves at least USD 1600 available over the next 90 days.
request_82,628.74,affordable_later,wait,2024-12-21:1405.2,2024-12-21,none,Pay USD 1405.2 in full on 21 December 2024. Paying earlier would take the balance below the USD 1100 minimum.
request_83,14921.73,not_affordable,not_recommended,none,,none,The full INR 156200 request cannot be completed safely within the next 90 days without breaking the INR 37800 minimum balance you want to keep.
request_84,39212.62,not_affordable,not_recommended,none,2026-04-14,none,The full INR 95400 request cannot be completed safely within the next 90 days without breaking the INR 91300 minimum balance you want to keep.
request_85,816811.67,not_affordable,not_recommended,none,,none,The full IDR 19304000 request cannot be completed safely within the next 90 days without breaking the IDR 6396300 minimum balance you want to keep.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today. This leaves at least INR 84900 available over the next 90 days.
request_87,48709.32,not_affordable,not_recommended,none,,none,The full INR 487900 request cannot be completed safely within the next 90 days without breaking the INR 185900 minimum balance you want to keep.
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-14,none,"Use 3 installments of ZAR 9045.23, starting 14 June 2024. This leaves at least ZAR 25800 available."
request_89,10445495.42,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-12,none,"Use 3 installments of IDR 4768746.67, starting 18 November 2025. This leaves at least IDR 12534700 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. This leaves at least ZAR 7600 available over the next 90 days.
request_91,897.05,not_affordable,not_recommended,none,2024-09-13,none,The full EUR 1927.2 request cannot be completed safely within the next 90 days without breaking the EUR 2100 minimum balance you want to keep.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today. This leaves at least ZAR 28100 available over the next 90 days.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Pay USD 1729.2 today. This leaves at least USD 1900 available over the next 90 days.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,75755.27,not_affordable,not_recommended,none,,none,The full INR 553000 request cannot be completed safely within the next 90 days without breaking the INR 145500 minimum balance you want to keep.
request_96,81465.71,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-07,none,"Use 3 installments of INR 31269.33, starting 10 January 2026. This leaves at least INR 56500 available."
request_97,2929.44,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Use 3 installments of ZAR 8145.28, starting 19 March 2024. This leaves at least ZAR 29700 available."
request_98,14601.39,affordable_later,wait,2025-08-14:27148,2025-08-14,none,Pay ZAR 27148 in full on 14 August 2025. Paying earlier would take the balance below the ZAR 30000 minimum.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today. This leaves at least ZAR 49100 available over the next 90 days.
request_100,31359.02,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12866.19, starting 13 June 2024. This leaves at least ZAR 32500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. This leaves at least INR 187400 available over the next 90 days.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,18108.72,not_affordable,not_recommended,none,,none,The full INR 368300 request cannot be completed safely within the next 90 days without breaking the INR 125500 minimum balance you want to keep.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today. This leaves at least ZAR 24700 available over the next 90 days.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 today. This leaves at least INR 73900 available over the next 90 days.
request_106,539.84,not_affordable,not_recommended,none,2024-12-15,none,The full EUR 2207.7 request cannot be completed safely within the next 90 days without breaking the EUR 1200 minimum balance you want to keep.
request_107,1294.69,not_affordable,not_recommended,none,,none,The full EUR 2534.4 request cannot be completed safely within the next 90 days without breaking the EUR 1600 minimum balance you want to keep.
request_108,6993.8,not_affordable,not_recommended,none,,none,The full ZAR 55308 request cannot be completed safely within the next 90 days without breaking the ZAR 24100 minimum balance you want to keep.
request_109,1008.7,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 6 August 2025. This leaves at least ZAR 11200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. This leaves at least IDR 23022800 available over the next 90 days.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.7 today. This leaves at least EUR 500 available over the next 90 days.
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Pay INR 36500 today. This leaves at least INR 82300 available over the next 90 days.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay INR 65300 today. This leaves at least INR 113400 available over the next 90 days.
request_115,16371.71,not_affordable,not_recommended,none,,none,The full INR 80500 request cannot be completed safely within the next 90 days without breaking the INR 38800 minimum balance you want to keep.
request_116,22629.11,not_affordable,not_recommended,none,,none,The full INR 241200 request cannot be completed safely within the next 90 days without breaking the INR 80300 minimum balance you want to keep.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880 today. This leaves at least EUR 1000 available over the next 90 days.
request_118,718.11,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-09,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600 available."
request_119,78902.71,not_affordable,not_recommended,none,,none,The full INR 203500 request cannot be completed safely within the next 90 days without breaking the INR 151200 minimum balance you want to keep.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This leaves at least IDR 20050300 available over the next 90 days.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.6 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 5 August 2025. This leaves at least IDR 12588500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today. This leaves at least IDR 18091200 available over the next 90 days.
request_124,1498.4,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,"Use 3 installments of EUR 1076.12, starting 11 June 2024. This leaves at least EUR 1600 available."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 today. This leaves at least ZAR 11300 available over the next 90 days.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. This leaves at least INR 129700 available over the next 90 days.
request_127,10527.22,not_affordable,not_recommended,none,,none,The full ZAR 23980 request cannot be completed safely within the next 90 days without breaking the ZAR 41000 minimum balance you want to keep.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. This leaves at least ZAR 42600 available over the next 90 days.
request_129,197.24,not_affordable,not_recommended,none,,none,The full USD 2668.8 request cannot be completed safely within the next 90 days without breaking the USD 800 minimum balance you want to keep.
request_130,590.26,not_affordable,not_recommended,none,2024-12-16,none,The full USD 1978.8 request cannot be completed safely within the next 90 days without breaking the USD 1400 minimum balance you want to keep.
request_131,1550.23,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-06,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1100 available."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Pay USD 379.86 today. This leaves at least USD 1100 available over the next 90 days.
request_133,15770000,not_affordable,not_recommended,none,2024-03-07,none,The full IDR 15770000 request cannot be completed safely within the next 90 days without breaking the IDR 9986200 minimum balance you want to keep.
request_134,7343943.67,not_affordable,not_recommended,none,2025-08-15,none,The full IDR 21831000 request cannot be completed safely within the next 90 days without breaking the IDR 15902500 minimum balance you want to keep.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.8 today. This leaves at least USD 500 available over the next 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,Pay USD 560.4 today. This leaves at least USD 1100 available over the next 90 days.
request_137,36357.58,not_affordable,not_recommended,none,2025-11-14,none,The full INR 80100 request cannot be completed safely within the next 90 days without breaking the INR 71800 minimum balance you want to keep.
request_138,1117.9,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-11,none,"Use 3 installments of EUR 435.74, starting 7 April 2026. This leaves at least EUR 2300 available."
request_139,2104.84,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 7 September 2024. This leaves at least USD 1500 available."
request_140,3316.99,not_affordable,not_recommended,none,,none,The full ZAR 62832 request cannot be completed safely within the next 90 days without breaking the ZAR 21600 minimum balance you want to keep.
request_141,39443.86,not_affordable,not_recommended,none,,none,The full INR 171600 request cannot be completed safely within the next 90 days without breaking the INR 67300 minimum balance you want to keep.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Pay USD 1263.6 today. This leaves at least USD 1700 available over the next 90 days.
request_143,4062.26,not_affordable,not_recommended,none,2025-05-16,none,The full ZAR 12584 request cannot be completed safely within the next 90 days without breaking the ZAR 11300 minimum balance you want to keep.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,53081.65,not_affordable,not_recommended,none,2024-03-22,none,The full INR 217400 request cannot be completed safely within the next 90 days without breaking the INR 155400 minimum balance you want to keep.
request_146,38399.18,not_affordable,not_recommended,none,,none,The full INR 449400 request cannot be completed safely within the next 90 days without breaking the INR 108600 minimum balance you want to keep.
request_147,470.03,not_affordable,not_recommended,none,,none,The full EUR 1129.7 request cannot be completed safely within the next 90 days without breaking the EUR 900 minimum balance you want to keep.
request_148,9494.46,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-14,none,"Use 3 installments of ZAR 7710.56, starting 14 June 2024. This leaves at least ZAR 20000 available."
request_149,30875.71,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-11,none,"Use 3 installments of ZAR 12706.03, starting 18 November 2025. This leaves at least ZAR 42100 available."
request_150,406.53,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-10,none,"Use 3 installments of EUR 171.98, starting 6 January 2026. This leaves at least EUR 700 available."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. This leaves at least IDR 31633600 available over the next 90 days.
request_152,12819.5,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-07,none,"Use 3 installments of ZAR 4812.43, starting 12 February 2025. This leaves at least ZAR 11900 available."
request_153,406.6,not_affordable,not_recommended,none,,none,The full USD 2830.8 request cannot be completed safely within the next 90 days without breaking the USD 1400 minimum balance you want to keep.
request_154,1084.35,not_affordable,not_recommended,none,,none,The full EUR 1625.8 request cannot be completed safely within the next 90 days without breaking the EUR 1300 minimum balance you want to keep.
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 today. This leaves at least INR 56300 available over the next 90 days.
request_156,10841.2,not_affordable,not_recommended,none,,none,The full ZAR 43076 request cannot be completed safely within the next 90 days without breaking the ZAR 26900 minimum balance you want to keep.
request_157,6968905.82,not_affordable,not_recommended,none,2024-03-17,none,The full IDR 23503000 request cannot be completed safely within the next 90 days without breaking the IDR 15714100 minimum balance you want to keep.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 7 August 2025. This leaves at least INR 131400 available."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay ZAR 13398 today. This leaves at least ZAR 8700 available over the next 90 days.
request_160,643.6,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1200 available."
request_161,0,not_affordable,not_recommended,none,,none,The full IDR 21204000 request cannot be completed safely within the next 90 days without breaking the IDR 23010400 minimum balance you want to keep.
request_162,3994307.28,not_affordable,not_recommended,none,,none,The full IDR 83923000 request cannot be completed safely within the next 90 days without breaking the IDR 24161100 minimum balance you want to keep.
request_163,6772914.1,not_affordable,not_recommended,none,,none,The full IDR 19304000 request cannot be completed safely within the next 90 days without breaking the IDR 26728700 minimum balance you want to keep.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 11 February 2025. This leaves at least IDR 29550500 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today. This leaves at least INR 95000 available over the next 90 days.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 3 December 2024. This leaves at least USD 1700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. This leaves at least ZAR 31200 available over the next 90 days.
request_168,42462.3,not_affordable,not_recommended,none,2026-01-11,none,The full INR 49380 request cannot be completed safely within the next 90 days without breaking the INR 114400 minimum balance you want to keep.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today. This leaves at least ZAR 18700 available over the next 90 days.
request_170,34633492.64,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-09,none,"Use 3 installments of IDR 12804480, starting 6 August 2025. This leaves at least IDR 24715800 available."
request_171,125.23,not_affordable,not_recommended,none,,none,The full EUR 1878.8 request cannot be completed safely within the next 90 days without breaking the EUR 500 minimum balance you want to keep.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5304, starting 5 June 2024. This leaves at least ZAR 27200 available."
request_173,71027.91,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-14,none,"Use 3 installments of INR 39173.33, starting 21 November 2025. This leaves at least INR 79100 available."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Pay EUR 2346.3 today. This leaves at least EUR 1700 available over the next 90 days.
request_176,541.78,not_affordable,not_recommended,none,,none,The full EUR 1239.7 request cannot be completed safely within the next 90 days without breaking the EUR 600 minimum balance you want to keep.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Pay USD 1017.6 today. This leaves at least USD 1300 available over the next 90 days.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 7 December 2024. This leaves at least EUR 1400 available."
request_179,12972327.71,not_affordable,not_recommended,none,2025-05-16,none,The full IDR 41648000 request cannot be completed safely within the next 90 days without breaking the IDR 41430800 minimum balance you want to keep.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 today. This leaves at least INR 37300 available over the next 90 days.
request_181,839,not_affordable,not_recommended,none,,none,The full USD 5059.2 request cannot be completed safely within the next 90 days without breaking the USD 2000 minimum balance you want to keep.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. This leaves at least ZAR 31100 available over the next 90 days.
request_183,25629061.12,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-09,none,"Use 3 installments of IDR 9313546.67, starting 10 April 2026. This leaves at least IDR 11878300 available."
request_184,29498.97,not_affordable,not_recommended,none,,none,The full INR 251900 request cannot be completed safely within the next 90 days without breaking the INR 110800 minimum balance you want to keep.
request_185,573.65,affordable_later,wait,2025-11-14:1257.3,2025-11-14,none,Pay EUR 1257.3 in full on 14 November 2025. Paying earlier would take the balance below the EUR 1300 minimum.
request_186,12690.51,not_affordable,not_recommended,none,,none,The full ZAR 26554 request cannot be completed safely within the next 90 days without breaking the ZAR 22000 minimum balance you want to keep.
request_187,45576.87,not_affordable,not_recommended,none,,none,The full INR 187500 request cannot be completed safely within the next 90 days without breaking the INR 128300 minimum balance you want to keep.
request_188,279.92,not_affordable,not_recommended,none,,none,The full EUR 2464 request cannot be completed safely within the next 90 days without breaking the EUR 900 minimum balance you want to keep.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.4 today. This leaves at least EUR 400 available over the next 90 days.
request_190,837.09,not_affordable,not_recommended,none,2024-12-15,none,The full EUR 2557.5 request cannot be completed safely within the next 90 days without breaking the EUR 1600 minimum balance you want to keep.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.4 today. This leaves at least EUR 500 available over the next 90 days.
request_192,338.79,not_affordable,not_recommended,none,,none,The full USD 2046 request cannot be completed safely within the next 90 days without breaking the USD 1000 minimum balance you want to keep.
